,Insecure,Secure,categorization of pairs based on the complexity ,categorization of pairs based on the specification methods,
rule 1: cipher.getInstance($sl) ,"StringLiterals literals = new StringLiterals(""AES"", ""RC2"", ""RC4"", ""RC5"", ""DES"", ""blowfish"", ""DESede"",  ""ARCFOUR"", ""RSA/NONE/NoPadding"");
Cipher.getInstance(literals.getAString());","StringLiterals literals = new StringLiterals(”AES/GCM/NoPadding"", ""RSA/ECB/OAEPWithSHA-1AndMGF1Padding"", ""AES/GCM/PKCS5Padding"", ""AES/CFB/PKCS5Padding"",""RSA/CBC/PKCS5Padding""); 
Cipher.getInstance(literals.getAString());","multiple statements, identical","special (multiple alternatives, scenario 2)",
rule 1," Cipher.getInstance(""AES/ECB/PKCS5Padding""); ","Cipher.getInstance(""AES/GCM/NoPadding""); ","single statement, identical",plain,
rule 1,"StringLiterals literals = new StringLiterals(""AES/ECB/PKCS5Padding"");
 Cipher.getInstance(literals.getAString());","StringLiterals literals = new StringLiterals(""AES/GCM/NoPadding"", ""AES/CBC/PKCS5Padding"", ""AES/CFB/PKCS5Padding"", ""AES/GCM/PKCS5Padding"" );
Cipher.getInstance(literals.getAString())","multiple statements, identical","special (multiple alternatives, scenario 2)",
rule 17,"SSLContext.getInstance(""TLSv1.0"");","SSLContext.getInstance(""TLSv1.3"");","single statement, identical",plain,
rule 17:SSLContext.getInstance($sl); ,"StringLiterals literals = new StringLiterals(""SSL"", ""TLSv1.0"", ""TLSv1.1"");
SSLContext.getInstance(literals.getAString());","StringLiterals literals = new StringLiterals( ""TLSv1.3"",""TLSv1.2"");
SSLContext.getInstance(literals.getAString());","multiple statements, identical","special (multiple alternatives, scenario 2)",
rule 2: SecretKeyFactory.getInstance($sl);,"SecretKeyFactory.getInstance(""DES"");   ","SecretKeyFactory.getInstance(""AES"");        ","single statement, identical",plain,
rule 2,"StringLiterals literals = new StringLiterals(""DES"", ""DESede"", ""ARCFOUR"", ""PBEWithMD5AndDES "", ""PBKDF2WithHmacSHA1"" );
SecretKeyFactory.getInstance(literals.getAString());","StringLiterals literals = new StringLiterals(""AES"", ""PBEWithHmacSHA256AndAES_256"");
SecretKeyFactory.getInstance(literals.getAString());","multiple statements, identical","special (multiple alternatives, scenario 2)",
rule 3," MessageDigest.getInstance(""MD5"");     ","MessageDigest.getInstance(""SHA-512""); ","single statement, identical",plain,
rule 3: MessageDigest.getInstance($sl),"StringLiterals literals = new StringLiterals(""#MD2"", ""(.)*MD5"", ""(.)*SHA-1"",""#SHA-1"",""SHA-224"");
MessageDigest.getInstance(literals.getAString());","StringLiterals literals = new StringLiterals(""SHA-512"", ""SHA-256"", ""SHA-3"");
MessageDigest.getInstance(literals.getAString());","multiple statements, identical","special (multiple alternatives, scenario 2)",
"
rule 4: PBEParameterSpec($sl, Iteration) check salt size ","
 void test(int iterations) {
byte[] salt = new byte[4];
AlgorithmParameterSpec paramSpec = new PBEParameterSpec(salt, iterations);}
","void test(int iterations) {
byte[] salt = new byte[8];
AlgorithmParameterSpec paramSpec = new PBEParameterSpec(salt, iterations);}
","multiple statements, abstract","special (value range, scenario 3)",
